ID	allele_type
MTBC_958	core
MTBC_959	core
MTBC_960	core
MTBC_961	core
MTBC_962	accessory
MTBC_963	accessory
MTBC_964	core
MTBC_965	core
MTBC_966	core
MTBC_967	core
MTBC_968	core
MTBC_969	accessory
MTBC_970	core
MTBC_971	core
MTBC_972	core
MTBC_973	core
MTBC_974	accessory
MTBC_975	core
MTBC_976	core
MTBC_977	core
MTBC_978	core
MTBC_979	core
MTBC_980	core
MTBC_981	core
MTBC_982	accessory
MTBC_983	core
MTBC_984	core
MTBC_985	core
MTBC_986	core
MTBC_987	accessory
MTBC_988	core
MTBC_989	core
MTBC_990	core
MTBC_991	core
MTBC_992	core
MTBC_993	core
MTBC_994	accessory
MTBC_995	core
MTBC_996	core
MTBC_997	core
MTBC_998	accessory
MTBC_999	core
MTBC_1000	core
MTBC_1001	core
MTBC_1002	core
MTBC_1003	core
MTBC_1004	accessory
MTBC_1005	accessory
MTBC_1006	core
MTBC_1007	core
MTBC_1008	core
MTBC_1009	core
MTBC_1010	accessory
MTBC_1011	core
MTBC_1012	core
MTBC_1013	core
MTBC_1014	core
MTBC_1015	core
MTBC_1016	core
MTBC_1017	core
MTBC_1018	core
MTBC_1019	core
MTBC_1020	core
MTBC_1021	core
MTBC_1022	core
MTBC_1023	core
MTBC_1024	core
MTBC_1025	core
MTBC_1026	core
MTBC_1027	core
MTBC_1028	core
MTBC_1029	accessory
MTBC_1030	core
MTBC_1031	core
MTBC_1032	core
MTBC_1033	core
MTBC_1034	core
MTBC_1035	core
MTBC_1036	core
MTBC_1037	core
MTBC_1038	core
MTBC_1039	core
MTBC_1040	core
MTBC_1041	core
MTBC_1042	core
MTBC_1043	core
MTBC_1044	core
MTBC_1045	core
MTBC_1046	accessory
MTBC_1047	core
MTBC_1048	accessory
MTBC_1049	core
MTBC_1050	core
MTBC_1051	core
MTBC_1052	core
MTBC_1053	core
MTBC_1054	core
MTBC_1055	core
MTBC_1056	core
MTBC_1057	core
MTBC_1058	core
MTBC_1059	core
MTBC_1060	core
MTBC_1061	core
MTBC_1062	core
MTBC_1063	accessory
MTBC_1064	accessory
MTBC_1065	core
MTBC_1066	accessory
MTBC_1067	core
MTBC_1068	core
MTBC_1069	core
MTBC_1070	core
MTBC_1071	core
MTBC_1072	core
MTBC_1073	core
MTBC_1074	core
MTBC_1075	core
MTBC_1076	core
MTBC_1077	core
MTBC_1078	core
MTBC_1079	core
MTBC_1080	core
MTBC_1081	accessory
MTBC_1082	core
MTBC_1083	core
MTBC_1084	accessory
MTBC_1085	accessory
MTBC_1086	core
MTBC_1087	core
MTBC_1088	core
MTBC_1089	accessory
MTBC_1090	core
MTBC_1091	core
MTBC_1092	core
MTBC_1093	core
MTBC_1094	accessory
MTBC_1095	core
MTBC_1096	core
MTBC_1097	accessory
MTBC_1098	core
MTBC_1099	core
MTBC_1100	accessory
MTBC_1101	core
MTBC_1102	core
MTBC_1103	core
MTBC_1104	core
MTBC_1105	core
MTBC_1106	core
MTBC_1107	core
MTBC_1108	accessory
MTBC_1109	core
MTBC_1110	core
MTBC_1111	core
MTBC_1112	core
MTBC_1113	core
MTBC_1114	core
MTBC_1115	core
MTBC_1116	core
MTBC_1117	core
MTBC_1118	accessory
MTBC_1119	core
MTBC_1120	core
MTBC_1121	core
MTBC_1122	core
MTBC_1123	core
MTBC_1124	core
MTBC_1125	core
MTBC_1126	core
MTBC_1127	core
MTBC_1128	core
MTBC_1129	accessory
MTBC_1130	core
MTBC_1131	core
MTBC_1132	accessory
MTBC_1133	core
MTBC_1134	accessory
MTBC_1135	core
MTBC_1136	core
MTBC_1137	core
MTBC_1138	accessory
MTBC_1139	core
MTBC_1140	accessory
MTBC_1141	accessory
MTBC_1142	core
MTBC_1143	core
MTBC_1144	core
MTBC_1145	accessory
MTBC_1146	core
MTBC_1147	core
MTBC_1148	core
MTBC_1149	core
MTBC_1150	core
MTBC_1151	core
MTBC_1152	accessory
MTBC_1153	core
MTBC_1154	accessory
MTBC_1155	core
MTBC_1156	accessory
MTBC_1157	accessory
MTBC_1158	core
MTBC_1159	core
MTBC_1160	core
MTBC_1161	core
MTBC_1162	core
MTBC_1163	core
MTBC_1164	core
MTBC_1165	core
MTBC_1166	core
MTBC_1167	core
MTBC_1168	accessory
MTBC_1169	core
MTBC_1170	accessory
MTBC_1171	core
MTBC_1172	core
MTBC_1173	core
MTBC_1174	core
MTBC_1175	core
MTBC_1176	core
MTBC_1177	core
MTBC_1178	core
MTBC_1179	core
MTBC_1180	core
MTBC_1181	core
MTBC_1182	accessory
MTBC_1183	core
MTBC_1184	core
MTBC_1185	core
MTBC_1186	core
MTBC_1187	core
MTBC_1188	core
MTBC_1189	core
MTBC_1190	core
MTBC_1191	core
MTBC_1192	core
MTBC_1193	core
MTBC_1194	core
MTBC_1195	accessory
MTBC_1196	core
MTBC_1197	core
MTBC_1198	core
MTBC_1199	core
MTBC_1200	core
MTBC_1201	core
MTBC_1202	core
MTBC_1203	core
MTBC_1204	core
MTBC_1205	core
MTBC_1206	core
MTBC_1207	core
MTBC_1208	core
MTBC_1209	core
MTBC_1210	core
MTBC_1211	core
MTBC_1212	core
MTBC_1213	core
MTBC_1214	core
MTBC_1215	core
MTBC_1216	core
MTBC_1217	core
MTBC_1218	core
MTBC_1219	core
MTBC_1220	core
MTBC_1221	core
MTBC_1222	core
MTBC_1223	core
MTBC_1224	core
MTBC_1225	accessory
MTBC_1226	accessory
MTBC_1227	core
MTBC_1228	core
MTBC_1229	accessory
MTBC_1230	core
MTBC_1231	core
MTBC_1232	core
MTBC_1233	core
MTBC_1234	core
MTBC_1235	core
MTBC_1236	accessory
MTBC_1237	core
MTBC_1238	core
MTBC_1239	core
MTBC_1240	core
MTBC_1241	core
MTBC_1242	core
MTBC_1243	accessory
MTBC_1244	core
MTBC_1245	core
MTBC_1246	core
MTBC_1247	accessory
MTBC_1248	core
MTBC_1249	core
MTBC_1250	core
MTBC_1251	accessory
MTBC_1252	core
MTBC_1253	accessory
MTBC_1254	accessory
MTBC_1255	core
MTBC_1256	core
MTBC_1257	accessory
MTBC_1258	core
MTBC_1259	core
MTBC_1260	core
MTBC_1261	core
MTBC_1262	core
MTBC_1263	core
MTBC_1264	core
MTBC_1265	core
MTBC_1266	core
MTBC_1267	accessory
